email,school_name
geturstyleofficial@gmail.com,Washington High School
g.eturstyleofficial@gmail.com,lund university
ge.turstyleofficial@gmail.com,jhund university
get.urstyleofficial@gmail.com,Stanford University
g.e.turstyleofficial@gmail.com,Massachusetts Institute of Technology
g.et.ur.styleofficial@gmail.com,Harvard University
ge.tur.styleofficial@gmail.com,Yale University
g.et.urstyle.official@gmail.com,University of Oxford
g.e.t.ur.style.official@gmail.com,University of Cambridge
getu.rstyleofficial@gmail.com,UC Berkeley
g.e.t.u.rstyleofficial@gmail.com,Columbia University
getur.style.official@gmail.com,University of Chicago
g.etur.styleoff.icial@gmail.com,Princeton University
ge.turstyle.offcial@gmail.com,California Institute of Technology
get.urstyle.official@gmail.com,University of Toronto
